Firm Name,Website,Practice Areas,Attorney Count,Notes,Outreach Status,Needs Research
"BOYD, KENTER, THOMAS & PARRISH LLC",,"Workers' Compensation, Labor Law, Personal Injury, Civil Litigation, Products Liability",29,"13 attorneys founded 1983, Kansas City area offices. Strong in workers' comp and civil litigation. Multiple Super Lawyers selections. Good document analysis fit.",Not Started,
"BROWN & CROUPPEN, P.C.",,"Personal Injury, Medical Malpractice, Civil Litigation, Wrongful Death, Product Liability, Workers' Compensation",8,50+ attorneys across 9 offices in Kansas City and St. Louis. Recovered over $1 billion for clients. Strong litigation focus. Excellent document analysis potential.,Not Started,
"CHINNERY EVANS & NAIL, P.C.",https://www.chinnery.com,"Estate Planning, Business Law, Real Estate, Probate, Trust Administration, Litigation, Elder Law, Bankruptcy",5-10,"Lee's Summit, MO. 9 attorneys with 125+ combined years experience. Strong in estate planning and probate. Excellent fit for estate planning segment of CaseDelta ICP.",Not Started,
"CHIONUMA LAW FIRM, LLC",www.chionuma.com,"Personal Injury, Workers' Compensation, Medical Malpractice, Product Liability, DUI/DWI",1,"Solo practice (Chuck Chionuma, Super Lawyers 2023-2025). Strong personal injury focus. Limited firm size for CaseDelta target, but high specialization.",Not Started,
"CHRISTIANSEN, JOHN ADAMS, LAW OFFICE OF, L.C.",www.johnadamschristiansenlawoffice.com,"Workers' Compensation, Personal Injury, Employment Discrimination, Family Law, Municipal Court, Appellate Law",1,Solo practitioner with 20+ years experience. Multiple practice areas. Solo firm size limits CaseDelta fit despite legal diversity.,Not Started,
"CITY PROSECUTOR'S OFFICE OF KANSAS CITY, MISSOURI",www.kcmo.org,Criminal Prosecution,13,"Government agency with 13 attorneys. Criminal prosecution focus only. Not aligned with CaseDelta ICP (family law, estate, civil).",Not Started,
CLOON LAW FIRM,cloonlaw.com,"Personal Injury, Auto Accidents, Medical Malpractice, Products Liability, Premises Liability",1,"Leawood, KS. Solo practice (Bryson Cloon, Super Lawyers). Founded 1969. Focused personal injury litigation. Solo size limits CaseDelta alignment.",Not Started,
"CLYDE & WOOD, LLC",www.clydeandwood.com,"Family Law, Personal Injury, Medical Malpractice, Workers' Compensation, Civil Litigation, Real Estate",2,"Overland Park, KS. Founded 1979. Family law and civil litigation specialties. Good fit for family law segment of CaseDelta ICP.",Not Started,
"COHEN & DUNCAN ATTORNEYS, LLC",www.studentrightslawyers.com,"Education Law, Student Rights, Title IX, Academic Appeals, Medical Student Appeals, K-12 Student Matters",1,Solo practice (Andrew Duncan; Clifford Cohen retired 2024). Highly specialized niche in education law. Not aligned with CaseDelta target markets.,Not Started,
"COLANTUONO GUINN KEPPLER, LLC",www.ksmolaw.com,"Employment Law, Labor Law, Business & Corporate, Discrimination & Retaliation, Non-Compete/Trade Secrets, Litigation",4,"Overland Park/Leawood, KS. 4 attorneys. Employment and business litigation focus. Good fit for employment litigation document analysis.",Not Started,
COLLINS FOWLER LLC,www.kcnorthlaw.com,"Bankruptcy, Business Law, Family Law, Estate Planning, Social Security Disability, Workers' Compensation, Personal Injury, Real Estate, Criminal",2,Kansas City North. 2 attorneys. Boutique firm with diverse practice areas including family law and estate planning. Strong fit for CaseDelta's target verticals.,Not Started,
CONROY BARAN LLC,,"Corporate & Business Law, Bankruptcy, Healthcare, Intellectual Property, M&A, Dispute Resolution, Real Estate, Trusts & Estates",5,"Kansas City, MO. 5 attorneys (input data). Corporate and M&A focus with some estate planning. Limited family law alignment.",Not Started,
"CONSTANGY BROOKS, SMITH & PROPHETE, LLP",www.constangy.com,"Employment Law, Labor Law, Wage & Hour, Workplace Safety, Immigration, Workers' Comp, Cybersecurity, ERISA",7,"KC office at 1201 Walnut, 816-472-6400. 250+ attorneys firm-wide across 21 states. Tim Davis leads KC. Employer-side employment law focus. Good for complex litigation.",Not Started,
COOK ELLIS LLC,www.ghafoorcook.com,"Estate Planning, Probate, Trusts, Bankruptcy, Business Law, Real Estate, Immigration, Intellectual Property",2,"Independence, MO (Kansas City metro). 2 attorneys. Strong estate planning and probate focus. Good fit for CaseDelta estate planning segment.",Not Started,
"COOLING & HERBERS, PC",www.coolinglaw.com,"Aviation Law, Business Law, Civil Litigation, Environmental Law, Insurance Law, Municipal Law, Real Estate Development, Zoning",4,"Kansas City, MO. Est. 1977. 4 attorneys (input data). Specialized in aviation law with diverse civil practice. Limited family law/estate focus.",Not Started,
"DAVIS BETHUNE & JONES, LLC",,"Personal Injury, Wrongful Death, Medical Malpractice, Civil Litigation, Product Liability, Mass Tort, Motor Vehicle Accidents, Railroad Litigation",19,"Kansas City, MO. 11 attorneys (input data). 20+ years in practice. 6 on Super Lawyers/Rising Stars. Strong civil litigation and wrongful death focus.",Not Started,
DENTONS US LLP,,"Real Estate, Corporate, M&A, Private Equity, Litigation, Insurance, Tax, Energy, White Collar, Intellectual Property",66,"Kansas City, MO. 66 attorneys (input data). Global mega-firm with KC office at 4520 Main St. Full-service corporate/M&A focus. Limited family law/estate alignment. High cost structure.",Not Started,
"DESIMONE PEARSON, LC",,"Business Law, Civil Litigation, Elder Law, Estate Planning, Probate, Real Estate",9,Founded 1995. Strong estate planning and probate focus with elder law. 9 attorneys. Fits ICP well with estate planning + business litigation.,Not Started,
"DFO LAW, LLC",,"Litigation, Workers Compensation, Personal Injury, Insurance Coverage",8,"Boutique litigation/workers comp firm. 8 attorneys. Personal injury focus doesn't align strongly with ICP (family law, estate, immigration preferred).",Not Started,
DICKERSON OXTON LAW FIRM,,"Personal Injury, Medical Malpractice, Products Liability, Mass Tort",236,"236 attorneys according to input (likely multi-office). Focus on personal injury/medical malpractice. 98% success rate. Too large and focused on personal injury, not ICP target.",Not Started,
"GUNN, SHANK & STOVER, PC",www.gunnshank.com,"Business Law, Litigation, Family Law, Estate Planning, Real Estate, Employment Law, Bankruptcy",5,"5 attorneys. Broad-based practice including family law, estate planning, business litigation. Perfect ICP fit for mid-market firm with family law services.",Not Started,
"GYLLENBORG & BROWN, P.A.",www.gyllenborg.com,"Criminal Defense, White Collar Offenses, Federal Crimes, Sex Crimes, Drug Crimes",2,"2 attorneys. Exclusive criminal defense focus. Not aligned with ICP (family law, estate, immigration preferred). Criminal-only = score 1.",Not Started,
"HALBROOK WOOD, P.C.",www.halbrookwoodlaw.com,"Employment Law, Civil Litigation, Commercial Litigation, Discrimination, Premises Liability, Products Liability",10,"10 attorneys. Focus on employment law and commercial litigation defense. Broader practice but not ICP target areas (missing family law, estate, immigration).",Not Started,
"HALE ROBINSON & ROBINSON, LLC",hrriawyers.com,"Family Law, Personal Injury, Criminal Defense, Divorce, Child Custody, Child Support",4,"4 attorneys. Strong family law focus (divorce, custody, support). Personal injury secondary. Excellent ICP fit for family law boutique.",Not Started,
"HALL & EVANS, LLC",www.halleevans.com,"Civil Litigation, Employment Law, Workers Compensation, Real Estate Litigation, Administrative Law",4,"4 attorneys. Employment law and workers comp focus. General civil litigation. Not strong ICP fit (no family law, estate, immigration).",Not Started,
"HANKINS & CONKLIN, P.C.",www.hankinsandconklin.com,"Personal Injury, Medical Malpractice, Family Law, Divorce, Child Custody, Adoption, Workers Compensation",2,"2 attorneys. Strong family law practice (divorce, custody, adoption) combined with personal injury/med mal. Good ICP fit for family law component.",Not Started,
HARDWICK LAW FIRM LLC,www.hardwicklaw.com,"Corporate Law, Real Estate, Finance, Transportation, Education, Healthcare",8,"8 attorneys. Focus on corporate finance, real estate, public finance. Not aligned with ICP (no family law, estate planning, immigration).",Not Started,
"HARRAH LAW, LLC",harrahlaw.com,"Litigation, Real Estate, Construction Law, Creditors' Rights",5,5 attorneys. Business/commercial litigation focus. No family law or estate planning. Not aligned with ICP.,Not Started,
"HARRIS & HART, LLC",harrisandhart.com,"Personal Injury, Trucking Accidents, Wrongful Death, Civil Defense Litigation, Insurance Defense",5,5 attorneys. Founded 2012. Focus on personal injury and insurance defense. Not aligned with ICP (family law/estate preferred).,Not Started,
"HARTMANN LAW OFFICE, LLC",www.hlawkc.com,"Estate Planning, Wills, Trusts, Real Estate, Business Law",1,"Solo attorney. Strong estate planning focus (wills, trusts, POA). Excellent ICP fit despite small size.",Not Started,
HARVEST LAW KC,www.harvestlawkc.com,"Estate Planning, Trusts, Asset Protection, Charitable Planning, Business Succession",1,"Solo attorney (Kyle Krull). 30+ years experience. Dedicated estate planning practice (trusts, wills, business succession). Excellent ICP fit.",Not Started,
"HAUSNER LAW OFFICE, LLC",https://hausnerlawoffice.com/,"Construction Law, Business Disputes, Commercial Litigation, Contract Disputes",1,"Solo attorney (Toby Hausner). Construction and commercial dispute focus. General business litigation. Not ICP target (no family law, estate, immigration).",Not Started,
HAYNES BENEFITS PC,www.haynesbenefits.com,"Employee Benefits, ERISA, Employment Law, 401(k) Planning, Executive Compensation",8,"8 attorneys. Exclusive benefits/ERISA practice. Specialized vertical not aligned with ICP (family law, estate, immigration focused).",Not Started,
KC ELDER LAW,,"Elder Law, Estate Planning, Medicaid Planning, Probate, Trust Administration, Powers of Attorney, VA Benefits, Guardianship",1,"1 attorney per input. 3 licensed attorneys (Courtney Roy, Ken Herring, Amber Thailing). 20+ years in business. 3 offices in KC metro (Lee's Summit MO, Overland Park KS, Kearney MO). Elder law/probate aligns with estate planning ICP.",Not Started,
KELEHER & EASTMAN,,"DWI/DUI Defense, Criminal Defense, Real Estate Law, Traffic Law",1,2 attorneys (Keleher & Eastman). Founded 1988. Gladstone MO location. Criminal focus + DUI makes low ICP score. Not aligned with CaseDelta vertical.,Not Started,
"KELLY LAW OFFICE, PC",,"Workers' Compensation, Personal Injury, Auto Accidents, Product Liability, Construction Law, Litigation",1,1 attorney (Mark E. Kelly). 100+ years combined experience. Liberty MO location. Workers comp & PI focus. Not CaseDelta ICP.,Not Started,
"KELLY, REED & JANSEN, LLC",,"Family Law, Divorce, Criminal Defense, Personal Injury, Probate Law, Landlord-Tenant Law",1,"3 partners listed (Kelly, Reed, Jansen). Lee's Summit location. 25+ years experience (Kelly). Family law + probate practice aligns with CaseDelta. ICP score 4+ due to family law + estate areas.",Not Started,
KEMPTON & RUSSELL,,"Personal Injury, Medical Malpractice, Product Liability",1,"8 attorneys. Located in Sedalia, MO (outside KC proper). Founded 1951. Personal injury/med mal focus. Not aligned with ICP.",Not Started,
KENNYHERTZ PERRY,,"Business Litigation, Startup Law, Mergers & Acquisitions, Government Enforcement, AI & Regulatory Compliance; White-Collar Crime; Regulatory Compliance; Real Estate; Securities; Sports Law; Intellectual Property",12,"12 attorneys. Founded 2013. Business law and litigation focus (M&A, startups, AI regulatory). Not aligned with ICP (family law, estate, immigration). Also listed as 'Kennyhertz Perry' in source. 9 Super Lawyers selections.",Not Started,
"KENT T. PERRY & CO., LC",,"Corporate Law, Banking Law, Commercial Real Estate, Mergers & Acquisitions, Business Formation",1,"11 attorneys. Founded 1996. Corporate/banking law focus. Not aligned with ICP (family law, estate, immigration preferred).",Not Started,
"KENTNER WYATT, LLC",,"Litigation, Bankruptcy, Criminal Defense, Consumer Protection, Collections",1,"8 attorneys. Bankruptcy, litigation, and criminal defense. Not aligned with ICP (family law, estate, immigration).",Not Started,
"KESSINGER LAW FIRM, P.C.",,"Business Litigation, Real Estate, Finance, Civil Litigation, Employment Discrimination",1,8 attorneys. Founded by James Kessinger (30+ years civil litigation). Business litigation and real estate focus. Not aligned with ICP.,Not Started,
"KETCHMARK & MCCREIGHT, P.C.",,"Personal Injury, Employment Discrimination, Complex Litigation, Class Action, Trial Practice",1,"12 attorneys. Trial-focused firm (5+ billion in verdicts). Personal injury/employment focus. Not aligned with ICP (family law, estate, immigration). NOTE: Mike Ketchmark met with Camren in-person Feb 23 2026 re: AI Simulated Jury and Deliberation Analyzer — in active CaseDelta pipeline.",Not Started,
"KING, KURT H.",,"Family Law, Personal Injury, General Practice, Child Custody",1,Solo attorney. 30+ years. Family law and personal injury. Good ICP fit for family law boutique despite solo size.,Not Started,
KIRKENDALL DWYER LLP,,"Personal Injury, Motor Vehicle Accidents, Product Liability, Maritime Injuries, Social Security Disability, Workplace Injuries",1,"National personal injury firm with offices in 9 states. 12 named attorneys in KC area. Focus on contingency-based plaintiff representation. Not CaseDelta ICP (litigation/personal injury, not estate/family/immigration).",Not Started,
KIRKLAND WOODS & MARTINSEN LLP,,"Estate Planning, Trust Administration, Fiduciary Litigation, Probate, Guardianship, Real Estate, Business Formation, Alternative Dispute Resolution",1,"25 attorneys (per input). 4 offices (Liberty MO, Overland Park KS, Springfield MO, St. Louis MO). Renamed to Kembell Woods & Martinsen in Jan 2025. 13 Super Lawyers selections. Estate/probate focus aligns with CaseDelta ICP.",Not Started,
"KLAMANN & SCHERMERHORN, P.A.",,"Class Action Litigation, Complex Litigation, Employment Law, Securities, Toxic Torts, Business Law",1,9 attorneys listed (per input). Founded 2010 in KC. 2 Super Lawyers. AV Preeminent rating 2026. Focus on complex litigation and class actions. Employment law presence fits secondary ICP.,Not Started,
KNIGHT NICASTRO MACKAY LLC,https://www.kmmlaw.com/,"Civil Litigation, Railroad/FELA, Trucking & Transportation, Personal Injury Defense, Construction Law, Business Litigation, Insurance Defense, Professional Liability",10+,"30+ attorneys, 6 offices nationally (CO, IL, MO, MT). 104 attorneys per input data (likely error in source). KC office at 304 W 10th St. Focus on defense litigation & transportation. Not CaseDelta ICP.",Not Started,
LANGDON & EMISON,https://www.langdonemison.com/,"Personal Injury, Motor Vehicle Accidents, Product Liability, Trucking Accidents, Railroad Injuries, Medical Device Liability, Prescription Drug Liability, Wrongful Death, Mass Torts",10+,"12 Super Lawyers selections. 40+ years experience. Multi-state offices (Chicago, St. Louis, KC, Lexington MO). $1 billion in verdicts/settlements. National personal injury focus. Not CaseDelta ICP.",Not Started,
LATHROP GPM LLP,,"Intellectual Property, Franchise Law, Litigation, Transactional Work, Corporate/M&A, Employment Law, Environmental Law, Real Estate, Labor & Employment, Education Law, Banking & Finance, Venture Capital, Life Sciences, Health Care",1,"KC office: ~100 lawyers (largest office). Total: 376 attorneys, 12 offices nationwide. Am Law 200 #170. Full-service BigLaw firm. No family/estate focus. ICP 3 for general practice signal but not core verticals.",Not Started,
LAUBER MUNICIPAL LAW,,"Municipal Law, City Attorney Services, Land Use Planning, Zoning Law, Economic Development, Public Works, Contract Drafting, Police & Fire Law",1,"15+ attorneys across 3 locations. Founded 2010. Municipal law specialty. Serves 15 MO/KS counties. Not CaseDelta ICP (municipal focus, not private law).",Not Started,
"LAW OFFICE OF KEVIN J. MCMANUS, LLC",,"Personal Injury, Car Accidents, Truck Accidents, Disability Insurance",8,"Multi-office firm (KC, Lee's Summit, Overland Park). Strong personal injury focus. Growing firm with litigation portfolio. ICP candidate.",Not Started,
LAW OFFICES OF RODERICK C. WHITE,,"Personal Injury, Criminal Defense, Civil Rights",1,"Multi-state firm (TX, MO, IL). Personal injury & criminal focus. $150M+ in verdicts/settlements. Not target ICP.",Not Started,
LENTZ CLARK DEINES PA,,"Bankruptcy, Debtors Rights, Creditors Rights",1,"3 members (Clark, Deines, Hennier). Founded 1988. Overland Park KS. Bankruptcy specialty. Jeffrey Deines Super Lawyers 2013-2018, Rising Stars 2010-2012. Not CaseDelta ICP.",Not Started,
MARTIN PRINGLE OLIVER WALLACE & BAUER LLP,https://www.martinpringle.com/,"Adoption & Surrogacy, Appellate Practice, Aviation Law, Banking Law, Bankruptcy, Business Law, Civil Litigation, Construction Law, Employment Law, Energy Law, Estate Planning, Family Law, Health Law, Immigration Law, Oil & Gas Law, Products Liability, Real Estate, Workers Compensation",10+,"34+ attorneys. 4 offices (Wichita KS, Overland Park KS, El Dorado KS, Kansas City MO). Founded 1951. Full-service regional firm. Estate planning + family law coverage. ICP 4+ for adoption/family law breadth.",Not Started,
MCANANY VAN CLEAVE & PHILLIPS PA,https://mvplaw.com/,"Workers' Compensation Defense, Employment Law, Civil Litigation, Insurance Defense, Business Litigation, Transactions, Public Sector Law",10+,31+ Super Lawyers selections. 8 Midwest offices. Founded 1901. Primary: Workers comp + employment law. Secondary: civil litigation. Employment law focus fits secondary ICP but not primary.,Not Started,
"MCNEILE PAPPAS, PC",,"Business Law, Commercial Litigation, Bankruptcy, Debt Collection, Real Estate",8,"Established 1974. Business/commercial focus. Document-heavy practice (collections, bankruptcy, foreclosure). Document analysis value.",Not Started,
"MCSHANE & BRADY, LLC",,"Personal Injury, Medical Malpractice, Product Liability, HIPAA Violations, Class Action",8,Strong personal injury with class action/mass tort emphasis. HIPAA/data breach litigation. Excellent ICP fit. Document-heavy cases.,Not Started,
"MERRICK, BAKER & STRAUSS, PC",,"Insurance Defense, Workers Compensation, Bankruptcy, Collections, Commercial Litigation",9,"Established insurance defense/collections firm. Document-heavy (collections, bankruptcy). Moderate ICP fit. B2B/institutional clients.",Not Started,
"MEYERKORD, RUSSELL & HERGOTT",,"Personal Injury, Medical Malpractice, Wrongful Death, Catastrophic Injury",10,3 Super Lawyers. Established personal injury firm in River Market. High-value catastrophic cases. Strong ICP candidate.,Not Started,
"MEYERS, BRIAN TIMOTHY, LAW OFFICES OF",,"Personal Injury, Medical Malpractice, Construction Accidents, Wrongful Death",10,Founded 1987. 30+ years trial experience. Personal injury specialist. Downtown KC location. Strong ICP candidate.,Not Started,
"MILLIN, STEPHEN B. JR., LAW OFFICE OF",,"Personal Injury, Medical Malpractice, Product Liability, Business Litigation",9,Super Lawyer since 2005. 30+ year personal injury veteran. Downtown location. Strong litigation portfolio. ICP candidate.,Not Started,
"MILLSAP & SINGER, LLC",,"Foreclosure, Bankruptcy, Mortgage Litigation, Real Estate",7,Established 1970. Large staff (70 employees). Mortgage/foreclosure specialist. Document-heavy work. Not ideal ICP (lender-focused).,Not Started,
MIRFASIHI LAW OFFICES,,"Personal Injury, Auto Accidents, Truck Accidents, Medical Malpractice, Workers Compensation",7,Super Lawyer (Mav Mirfasihi). Multi-attorney firm. Strong personal injury practice. North KC location. Good ICP candidate.,Not Started,
NASH & FRANCISKATO LAW FIRM,,"Personal Injury, Medical Malpractice, Product Liability, Wrongful Death, Defective Medical Devices",10,Founded 2004. 4 Super Lawyers. $50M+ in settlements. Downtown KC location. Strong litigation practice. Excellent ICP candidate.,Not Started,
NELSON & YARNELL,,"Family Law, Divorce, Child Custody, Property Division",9,Established 2008. Super Lawyer (Ronald Nelson). Family law specialist. 3-attorney firm. AAML Fellow. Excellent ICP candidate for family law vertical.,Not Started,
"NICHOLS LAW FIRM, LLC, THE",,"Civil Litigation, Personal Injury, Auto Accidents, Employment Law, Medical Malpractice",7,Established 2000. 20+ years prior experience. Multi-practice litigation focus. Clay/Platte/Jackson counties. Good litigation exposure.,Not Started,
"NIGRO LAW FIRM, LLC",,"Criminal Defense, DUI/DWI, Drug Offenses, Assault",8,"Criminal defense only. Founded 1997. Super Lawyer (Ross Nigro). Not ICP fit - CaseDelta targets civil litigation (family, estate, M&A).",Not Started,
NOLAND LAW FIRM LLC,,"Personal Injury, Auto Accidents, Truck Accidents, Medical Malpractice, Workers Compensation",9,"Liberty, MO location (Kansas City metro). 55+ years combined experience. Broad personal injury portfolio. Strong litigation firm. Good ICP candidate.",Not Started,
"NORMAN & GRAVES, LLC",,"Personal Injury, Product Liability, Medical Malpractice, Class Action, Mass Tort",10,Founded 2003. 3 Super Lawyers. $100M+ in verdicts/settlements. Plaza area location. Strong litigation focus. Excellent ICP candidate.,Not Started,
"NORRIS KEPLINGER HICKS & WELDER, LLC",,"Civil Litigation, Personal Injury, Construction Law, Professional Liability, Medical Malpractice",14,"Overland Park, KS location. AV-rated firm. 200+ jury trials. Chambers USA ranked. Multi-practice litigation firm. Strong ICP candidate.",Not Started,
"NORTON & SPENCER, P.C.",,"Personal Injury, Medical Malpractice, Trucking Accidents, Wrongful Death, Construction Accidents",11,Established 1952. 60+ years experience. Principal attorney 150+ jury trials. $50M+ in settlements. North KC location. Excellent ICP candidate.,Not Started,
"NORTON HARE, L.L.C.",,"Family Law, Divorce, DUI/Criminal Defense, Personal Injury",11,"Overland Park, KS location. AV-rated (highest Martindale-Hubbell). Family law + criminal. Multi-practice. Family law ICP angle.",Not Started,
"OFODU LAW OFFICES, LLC",,"Personal Injury, Product Liability, Medical Malpractice, Auto Accidents, Truck Accidents",9,Downtown KC location (Grand Blvd). Solo/small firm. Strong personal injury portfolio. Good litigation exposure. ICP candidate.,Not Started,
"OGLETREE, DEAKINS, NASH, SMOAK & STEWART, PC",,"Employment Law, Labor Law, Class Action Defense, FLSA Litigation",23,"National firm (1,100+ attorneys, 60 offices). KC office 16 lawyers. Employment law specialist. Large sophisticated firm - may not need CaseDelta but document-heavy practice.",Not Started,
"OLIVER & REICHEL, PA",,"Medical Malpractice, Birth Injuries, Spinal Cord Injuries",12,"Overland Park, KS. Two attorneys with 25+ years experience. Super Lawyer status. Specialized medical malpractice. Excellent ICP candidate.",Not Started,
"ROBB, TAYLOR & O'CONNOR",,"Personal Injury, Wrongful Death, Workers' Compensation",9,"Kansas City, KS. Personal injury focus only. Not family law or estate. Criminal score only.",Not Started,
"RONAN LAW FIRM, THE",,"Medical Malpractice, Personal Injury, Wrongful Death, Nursing Home Negligence, Vaccine Litigation",1,"Overland Park, KS. Personal injury/medical malpractice focus. 45+ years experience. ICP mismatch.",Not Started,
"ROUSE FRETS WHITE GOSS GENTILE RHODES, P.C.",,"Business & Corporate Law, Real Estate, Construction Law, Medical Malpractice Defense, Commercial Litigation, Estate Planning, Labor & Employment",1,"Multi-office KC firm (Leawood, KC offices). 60+ attorneys total. Estate planning included but not primary. Regional firm.",Not Started,
"RS LAW, LLC",,"Family Law, Bankruptcy, Personal Injury, Estate Planning",1,High-asset family law focus. Located in Kansas City. ICP fit: family law + bankruptcy + solid size.,Not Started,
"RUBINS, KASE, HAGER, & CAMBIANO P.C.",,"Personal Injury, Social Security, Workers' Compensation",1,"Founded 1950. Personal injury focus, not family law. Larger firm (10+ attorneys). Not ideal ICP.",Not Started,
"RYNEARSON, SUESS, SCHNURBUSCH & CHAMPION LLC",,"Civil Litigation, Premises Liability Defense, Products Liability",1,"Multi-state firm with KC office. Civil litigation focus, not family law/estate. ICP mismatch.",Not Started,
"SADER LAW FIRM, LLC",,"Bankruptcy, Foreclosure Relief, Debt Relief, Real Estate, Commercial Collections",1,"Founded 1997, bankruptcy-focused. Not family law or estate planning focused. ICP mismatch.",Not Started,
"SAGE LAW, LLP",,"Estate Planning, Probate, Trust Administration, Estate Litigation, Elder Law, Civil Litigation, Family Law",1,"Excellent ICP fit: estate planning, probate, elder law, family law. Overland Park-based. 10+ attorneys. Primary practice areas match CaseDelta ICP perfectly.",Not Started,
"SANDAGE LAW, LLC",,"Criminal Defense, Professional License Discipline, White Collar Crime, Personal Injury",1,"Founded 1995. Criminal defense focus, not family law/estate. ICP score 1 - criminal only focus.",Not Started,
SANDBERG PHOENIX & VON GONTARD P.C.,,"Business, Business Litigation, Health Law, Intellectual Property, Products Liability, Individual & Family Law",1,Large multi-office firm (180+ attorneys). Family law is one of many practices. Kansas City office confirmed. General corporate litigation focus.,Not Started,
"SESSION LAW FIRM, THE",,Environmental Law,8,Environmental law specialist. Not family law/estate/litigation. ICP mismatch.,Not Started,
SEXTON & SHELOR,,"Medical Malpractice, Personal Injury, Domestic Relations, Workers' Compensation",8,"Established 1982. Personal injury primary, family law secondary. Shawnee Mission/Overland Park area.",Not Started,
"SEXTON, BENDER, HILL & STEINMAN, P.C.",,"Probate, Family Law, Real Estate, Civil Litigation, Estate Planning, Tax Law",14,"Gladstone, MO (KC area). Probate & family law primary. ICP fit: family law + estate planning. 10+ attorneys.",Not Started,
