Firm Name,Address,Phone,Fax,Website,Key Contacts,Attorney Count (Est.),ICP Score (1-5),Practice Areas,Firm Size Bucket,ICP Notes,Outreach Status,Last Contact,Next Follow-up,Notes
"CITY PROSECUTOR'S OFFICE OF KANSAS CITY, MISSOURI","511 E. 11th St., Kansas City, MO 64106",(816) 513-6750,www.kcmo.org,1,Criminal Prosecution,13,high,"Government agency with 13 attorneys. Criminal prosecution focus only. Not aligned with CaseDelta ICP (family law, estate, civil).",,,Not Started,,,
CLOON LAW FIRM,"11609 Manor Rd., Leawood, KS 66211",(913) 530-9022,cloonlaw.com,3,"Personal Injury, Auto Accidents, Medical Malpractice, Products Liability, Premises Liability",1,high,"Leawood, KS. Solo practice (Bryson Cloon, Super Lawyers). Founded 1969. Focused personal injury litigation. Solo size limits CaseDelta alignment.",,,Not Started,,,
"CLYDE & WOOD, LLC","11225 College Blvd., Ste. 110, Overland Park, KS 66210",(913) 663-5335,www.clydeandwood.com,4,"Family Law, Personal Injury, Medical Malpractice, Workers' Compensation, Civil Litigation, Real Estate",2,high,"Overland Park, KS. Founded 1979. Family law and civil litigation specialties. Good fit for family law segment of CaseDelta ICP.",,,Not Started,,,
"COHEN & DUNCAN ATTORNEYS, LLC","7015 College Blvd. #375, Overland Park, KS 66211",(913) 302-0152,www.studentrightslawyers.com,1,"Education Law, Student Rights, Title IX, Academic Appeals, Medical Student Appeals, K-12 Student Matters",1,high,Solo practice (Andrew Duncan; Clifford Cohen retired 2024). Highly specialized niche in education law. Not aligned with CaseDelta target markets.,,,Not Started,,,
"COLANTUONO GUINN KEPPLER, LLC","7015 College Blvd., Ste. 375, II Park Renaissance, Overland Park, KS 66211-1862",(913) 345-2555,www.ksmolaw.com,4,"Employment Law, Labor Law, Business & Corporate, Discrimination & Retaliation, Non-Compete/Trade Secrets, Litigation",4,high,"Overland Park/Leawood, KS. 4 attorneys. Employment and business litigation focus. Good fit for employment litigation document analysis.",,,Not Started,,,
COLLINS FOWLER LLC,"7501 N.W. Tiffany Springs Pkwy., Ste. 200, Kansas City, MO 64153-1960",(816) 880-9696,www.kcnorthlaw.com,4,"Bankruptcy, Business Law, Family Law, Estate Planning, Social Security Disability, Workers' Compensation, Personal Injury, Real Estate, Criminal",2,high,Kansas City North. 2 attorneys. Boutique firm with diverse practice areas including family law and estate planning. Strong fit for CaseDelta's target verticals.,,,Not Started,,,
CONROY BARAN LLC,"1316 St. Louis Ave., 2nd Fl., Kansas City, MO 64101",(816) 388-9686,,3,"Corporate & Business Law, Bankruptcy, Healthcare, Intellectual Property, M&A, Dispute Resolution, Real Estate, Trusts & Estates",5,high,"Kansas City, MO. 5 attorneys (input data). Corporate and M&A focus with some estate planning. Limited family law alignment.",,,Not Started,,,
"CONSTANGY BROOKS, SMITH & PROPHETE, LLP","1201 Walnut St, Ste 2350, Kansas City, MO 64106-2136",(816) 472-6400,www.constangy.com,4,"Employment Law, Labor Law, Wage & Hour, Workplace Safety, Immigration, Workers' Comp, Cybersecurity, ERISA",7,high,"KC office at 1201 Walnut, 816-472-6400. 250+ attorneys firm-wide across 21 states. Tim Davis leads KC. Employer-side employment law focus. Good for complex litigation.",,,Not Started,,,
COOK ELLIS LLC,"136 E. Walnut, Ste. 300, Independence, MO 64050",(816) 373-7379,www.ghafoorcook.com,4,"Estate Planning, Probate, Trusts, Bankruptcy, Business Law, Real Estate, Immigration, Intellectual Property",2,high,"Independence, MO (Kansas City metro). 2 attorneys. Strong estate planning and probate focus. Good fit for CaseDelta estate planning segment.",,,Not Started,,,
"COOLING & HERBERS, PC","1100 Main St., Ste. 2400, Kansas City, MO 64105",(816) 474-0777,www.coolinglaw.com,3,"Aviation Law, Business Law, Civil Litigation, Environmental Law, Insurance Law, Municipal Law, Real Estate Development, Zoning",4,high,"Kansas City, MO. Est. 1977. 4 attorneys (input data). Specialized in aviation law with diverse civil practice. Limited family law/estate focus.",,,Not Started,,,
"DAVIS BETHUNE & JONES, LLC",,(913) 383-2400,,4,"Personal Injury, Wrongful Death, Medical Malpractice, Civil Litigation, Product Liability, Mass Tort, Motor Vehicle Accidents, Railroad Litigation",19,high,"Kansas City, MO. 11 attorneys (input data). 20+ years in practice. 6 on Super Lawyers/Rising Stars. Strong civil litigation and wrongful death focus.",,,Not Started,,,
DENTONS US LLP,"7015 College Blvd., Ste. 375, II Park Renaissance, Overland Park, KS 66211-1862",(913) 345-2555,,3,"Real Estate, Corporate, M&A, Private Equity, Litigation, Insurance, Tax, Energy, White Collar, Intellectual Property",66,high,"Kansas City, MO. 66 attorneys (input data). Global mega-firm with KC office at 4520 Main St. Full-service corporate/M&A focus. Limited family law/estate alignment. High cost structure.",,,Not Started,,,
"DESIMONE PEARSON, LC","6320 Brookside Plaza, Ste. 182, Kansas City, MO 64113",(913) 904-6207,,4,"Business Law, Civil Litigation, Elder Law, Estate Planning, Probate, Real Estate",9,high,Founded 1995. Strong estate planning and probate focus with elder law. 9 attorneys. Fits ICP well with estate planning + business litigation.,,,Not Started,,,
"DFO LAW, LLC","1316 St. Louis Ave., 2nd Fl., Kansas City, MO 64101",(816) 388-9686,,3,"Litigation, Workers Compensation, Personal Injury, Insurance Coverage",8,high,"Boutique litigation/workers comp firm. 8 attorneys. Personal injury focus doesn't align strongly with ICP (family law, estate, immigration preferred).",,,Not Started,,,
DICKERSON OXTON LAW FIRM,"1201 Walnut St, Ste 2350, Kansas City, MO 64106-2136",(816) 472-6400,,2,"Personal Injury, Medical Malpractice, Products Liability, Mass Tort",236,high,"236 attorneys according to input (likely multi-office). Focus on personal injury/medical malpractice. 98% success rate. Too large and focused on personal injury, not ICP target.",,,Not Started,,,
"GUNN, SHANK & STOVER, PC","12200 N. Ambassador Dr., Ste. 410, Kansas City, MO 64163",(816) 454-5600,www.gunnshank.com,4,"Business Law, Litigation, Family Law, Estate Planning, Real Estate, Employment Law, Bankruptcy",5,high,"5 attorneys. Broad-based practice including family law, estate planning, business litigation. Perfect ICP fit for mid-market firm with family law services.",,,Not Started,,,
"GYLLENBORG & BROWN, P.A.","7450 W 130th St, Ste 310, Overland Park, KS 66213-2684",(913) 782-1400,www.gyllenborg.com,1,"Criminal Defense, White Collar Offenses, Federal Crimes, Sex Crimes, Drug Crimes",2,high,"2 attorneys. Exclusive criminal defense focus. Not aligned with ICP (family law, estate, immigration preferred). Criminal-only = score 1.",,,Not Started,,,
"HALBROOK WOOD, P.C.","3500 W. 75th St., Ste. 300, Prairie Village, KS 66208",(913) 529-1188,www.halbrookwoodlaw.com,3,"Employment Law, Civil Litigation, Commercial Litigation, Discrimination, Premises Liability, Products Liability",10,high,"10 attorneys. Focus on employment law and commercial litigation defense. Broader practice but not ICP target areas (missing family law, estate, immigration).",,,Not Started,,,
"HALE ROBINSON & ROBINSON, LLC","511 Delaware St., Ste. 100, Kansas City, MO 64105",(816) 605-1734,hrriawyers.com,5,"Family Law, Personal Injury, Criminal Defense, Divorce, Child Custody, Child Support",4,high,"4 attorneys. Strong family law focus (divorce, custody, support). Personal injury secondary. Excellent ICP fit for family law boutique.",,,Not Started,,,
"HALL & EVANS, LLC","1111 Main St., Ste. 700, Kansas City, MO 64105",(816) 656-2540,www.halleevans.com,3,"Civil Litigation, Employment Law, Workers Compensation, Real Estate Litigation, Administrative Law",4,high,"4 attorneys. Employment law and workers comp focus. General civil litigation. Not strong ICP fit (no family law, estate, immigration).",,,Not Started,,,
"HANKINS & CONKLIN, P.C.","6812 N. Oak Trfwy., Ste. 5, Gladstone, MO 64118-2587",(816) 436-3100,www.hankinsandconklin.com,4,"Personal Injury, Medical Malpractice, Family Law, Divorce, Child Custody, Adoption, Workers Compensation",2,high,"2 attorneys. Strong family law practice (divorce, custody, adoption) combined with personal injury/med mal. Good ICP fit for family law component.",,,Not Started,,,
HARDWICK LAW FIRM LLC,"2405 Grand Blvd., Ste. 800, Kansas City, MO 64108",(816) 221-9445,www.hardwicklaw.com,2,"Corporate Law, Real Estate, Finance, Transportation, Education, Healthcare",8,high,"8 attorneys. Focus on corporate finance, real estate, public finance. Not aligned with ICP (no family law, estate planning, immigration).",,,Not Started,,,
"HARRAH LAW, LLC","1903 Wyandotte St., Ste. 100, Kansas City, MO 64108",(816) 897-6000,harrahlaw.com,2,"Litigation, Real Estate, Construction Law, Creditors' Rights",5,high,5 attorneys. Business/commercial litigation focus. No family law or estate planning. Not aligned with ICP.,,,Not Started,,,
"HARRIS & HART, LLC","9260 Glenwood St., Overland Park, KS 66212",(913) 213-6980,harrisandhart.com,2,"Personal Injury, Trucking Accidents, Wrongful Death, Civil Defense Litigation, Insurance Defense",5,high,5 attorneys. Founded 2012. Focus on personal injury and insurance defense. Not aligned with ICP (family law/estate preferred).,,,Not Started,,,
"HARTMANN LAW OFFICE, LLC","2029 Wyandotte St, Ste 100, Kansas City, MO 64108-1971",(816) 599-6638,www.hlawkc.com,5,"Estate Planning, Wills, Trusts, Real Estate, Business Law",1,high,"Solo attorney. Strong estate planning focus (wills, trusts, POA). Excellent ICP fit despite small size.",,,Not Started,,,
HARVEST LAW KC,"5209 W. 164th St., Overland Park, KS 66085",(913) 851-4880,www.harvestlawkc.com,5,"Estate Planning, Trusts, Asset Protection, Charitable Planning, Business Succession",1,high,"Solo attorney (Kyle Krull). 30+ years experience. Dedicated estate planning practice (trusts, wills, business succession). Excellent ICP fit.",,,Not Started,,,
"HAUSNER LAW OFFICE, LLC","4520 Main Street, Suite 1570, Kansas City, MO 64111",(816) 343-9633,https://hausnerlawoffice.com/,3,"Construction Law, Business Disputes, Commercial Litigation, Contract Disputes",1,high,"Solo attorney (Toby Hausner). Construction and commercial dispute focus. General business litigation. Not ICP target (no family law, estate, immigration).",,,Not Started,,,
HAYNES BENEFITS PC,"2600 Grand Blvd, Ste 410, Kansas City, MO 64108-4601",(816) 875-1919,www.haynesbenefits.com,2,"Employee Benefits, ERISA, Employment Law, 401(k) Planning, Executive Compensation",8,high,"8 attorneys. Exclusive benefits/ERISA practice. Specialized vertical not aligned with ICP (family law, estate, immigration focused).",,,Not Started,,,
KC ELDER LAW,"9260 Glenwood St., Overland Park, KS 66212",(913) 213-6980,,4,"Elder Law, Estate Planning, Medicaid Planning, Probate, Trust Administration, Powers of Attorney, VA Benefits, Guardianship",1,high,"1 attorney per input. 3 licensed attorneys (Courtney Roy, Ken Herring, Amber Thailing). 20+ years in business. 3 offices in KC metro (Lee's Summit MO, Overland Park KS, Kearney MO). Elder law/probate aligns with estate planning ICP.",,,Not Started,,,
KELEHER & EASTMAN,"2029 Wyandotte St, Ste 100, Kansas City, MO 64108-1971",(816) 599-6638,,1,"DWI/DUI Defense, Criminal Defense, Real Estate Law, Traffic Law",1,high,2 attorneys (Keleher & Eastman). Founded 1988. Gladstone MO location. Criminal focus + DUI makes low ICP score. Not aligned with CaseDelta vertical.,,,Not Started,,,
"KELLY LAW OFFICE, PC","5209 W. 164th St., Overland Park, KS 66085",(913) 851-4880,,2,"Workers' Compensation, Personal Injury, Auto Accidents, Product Liability, Construction Law, Litigation",1,high,1 attorney (Mark E. Kelly). 100+ years combined experience. Liberty MO location. Workers comp & PI focus. Not CaseDelta ICP.,,,Not Started,,,
"KELLY, REED & JANSEN, LLC","908 Baltimore Ave, Ste 303, Kansas City, MO 64105",(816) 423-2530,,4,"Family Law, Divorce, Criminal Defense, Personal Injury, Probate Law, Landlord-Tenant Law",1,high,"3 partners listed (Kelly, Reed, Jansen). Lee's Summit location. 25+ years experience (Kelly). Family law + probate practice aligns with CaseDelta. ICP score 4+ due to family law + estate areas.",,,Not Started,,,
KEMPTON & RUSSELL,"4520 Main Street, Suite 1570, Kansas City, MO 64111",(816) 343-9633,,2,"Personal Injury, Medical Malpractice, Product Liability",1,high,"8 attorneys. Located in Sedalia, MO (outside KC proper). Founded 1951. Personal injury/med mal focus. Not aligned with ICP.",,,Not Started,,,
KENNERHERTZ PERRY,"425 NE Saint Andrews Cir, Lees Summit, MO 64064-1321",(816) 472-8800,,2,"Business Litigation, Startup Law, Mergers & Acquisitions, Government Enforcement, AI & Regulatory Compliance",12,high,"12 attorneys. Founded 2013. Business law and litigation focus (M&A, startups, AI regulatory). Not aligned with ICP (family law, estate, immigration).",,,Not Started,,,
KENNYHERTZ PERRY,,,,2,"Business Litigation, Transactional Law, M&A, Government Enforcement, White-Collar Crime, Regulatory Compliance, Startup Law, Real Estate, Securities, Sports Law, IP, AI/Regulatory",1,high,Exact attorney count not disclosed but website indicates multiple attorneys. Founded 2013 in KC. 9 Super Lawyers selections. Business/regulatory focus. Not CaseDelta ICP (no family/estate/immigration).,,,Not Started,,,
"KENT T. PERRY & CO., LC",,,,2,"Corporate Law, Banking Law, Commercial Real Estate, Mergers & Acquisitions, Business Formation",1,high,"11 attorneys. Founded 1996. Corporate/banking law focus. Not aligned with ICP (family law, estate, immigration preferred).",,,Not Started,,,
"KENTNER WYATT, LLC",,,,2,"Litigation, Bankruptcy, Criminal Defense, Consumer Protection, Collections",1,high,"8 attorneys. Bankruptcy, litigation, and criminal defense. Not aligned with ICP (family law, estate, immigration).",,,Not Started,,,
"KESSINGER LAW FIRM, P.C.",,,,2,"Business Litigation, Real Estate, Finance, Civil Litigation, Employment Discrimination",1,high,8 attorneys. Founded by James Kessinger (30+ years civil litigation). Business litigation and real estate focus. Not aligned with ICP.,,,Not Started,,,
"KETCHMARK & MCCREIGHT, P.C.",,,,2,"Personal Injury, Employment Discrimination, Complex Litigation, Class Action, Trial Practice",1,high,"12 attorneys. Trial-focused firm (5+ billion in verdicts). Personal injury/employment focus. Not aligned with ICP (family law, estate, immigration).",,,Not Started,,,
"KING, KURT H.",,,,4,"Family Law, Personal Injury, General Practice, Child Custody",1,high,Solo attorney. 30+ years. Family law and personal injury. Good ICP fit for family law boutique despite solo size.,,,Not Started,,,
KIRKENDALL DWYER LLP,,,,2,"Personal Injury, Motor Vehicle Accidents, Product Liability, Maritime Injuries, Social Security Disability, Workplace Injuries",1,high,"National personal injury firm with offices in 9 states. 12 named attorneys in KC area. Focus on contingency-based plaintiff representation. Not CaseDelta ICP (litigation/personal injury, not estate/family/immigration).",,,Not Started,,,
KIRKLAND WOODS & MARTINSEN LLP,,,,5,"Estate Planning, Trust Administration, Fiduciary Litigation, Probate, Guardianship, Real Estate, Business Formation, Alternative Dispute Resolution",1,high,"25 attorneys (per input). 4 offices (Liberty MO, Overland Park KS, Springfield MO, St. Louis MO). Renamed to Kembell Woods & Martinsen in Jan 2025. 13 Super Lawyers selections. Estate/probate focus aligns with CaseDelta ICP.",,,Not Started,,,
"KLAMANN & SCHERMERHORN, P.A.",,,,4,"Class Action Litigation, Complex Litigation, Employment Law, Securities, Toxic Torts, Business Law",1,high,9 attorneys listed (per input). Founded 2010 in KC. 2 Super Lawyers. AV Preeminent rating 2026. Focus on complex litigation and class actions. Employment law presence fits secondary ICP.,,,Not Started,,,
KNIGHT NICASTRO MACKAY LLC,,,https://www.kmmlaw.com/,2,"Civil Litigation, Railroad/FELA, Trucking & Transportation, Personal Injury Defense, Construction Law, Business Litigation, Insurance Defense, Professional Liability",10+,high,"30+ attorneys, 6 offices nationally (CO, IL, MO, MT). 104 attorneys per input data (likely error in source). KC office at 304 W 10th St. Focus on defense litigation & transportation. Not CaseDelta ICP.",,,Not Started,,,
LANGDON & EMISON,,,https://www.langdonemison.com/,2,"Personal Injury, Motor Vehicle Accidents, Product Liability, Trucking Accidents, Railroad Injuries, Medical Device Liability, Prescription Drug Liability, Wrongful Death, Mass Torts",10+,high,"12 Super Lawyers selections. 40+ years experience. Multi-state offices (Chicago, St. Louis, KC, Lexington MO). $1 billion in verdicts/settlements. National personal injury focus. Not CaseDelta ICP.",,,Not Started,,,
LATHROP GPM LLP,,,,3,"Intellectual Property, Franchise Law, Litigation, Transactional Work, Corporate/M&A, Employment Law, Environmental Law, Real Estate, Labor & Employment, Education Law, Banking & Finance, Venture Capital, Life Sciences, Health Care",1,high,"KC office: ~100 lawyers (largest office). Total: 376 attorneys, 12 offices nationwide. Am Law 200 #170. Full-service BigLaw firm. No family/estate focus. ICP 3 for general practice signal but not core verticals.",,,Not Started,,,
LAUBER MUNICIPAL LAW,,,,1,"Municipal Law, City Attorney Services, Land Use Planning, Zoning Law, Economic Development, Public Works, Contract Drafting, Police & Fire Law",1,high,"15+ attorneys across 3 locations. Founded 2010. Municipal law specialty. Serves 15 MO/KS counties. Not CaseDelta ICP (municipal focus, not private law).",,,Not Started,,,
"LAW OFFICE OF KEVIN J. MCMANUS, LLC",,,,3,"Personal Injury, Car Accidents, Truck Accidents, Disability Insurance",8,high,"Multi-office firm (KC, Lee's Summit, Overland Park). Strong personal injury focus. Growing firm with litigation portfolio. ICP candidate.",,,Not Started,,,
LAW OFFICES OF RODERICK C. WHITE,,,,2,"Personal Injury, Criminal Defense, Civil Rights",1,high,"Multi-state firm (TX, MO, IL). Personal injury & criminal focus. $150M+ in verdicts/settlements. Not target ICP.",,,Not Started,,,
LENTZ CLARK DEINES PA,,,,2,"Bankruptcy, Debtors Rights, Creditors Rights",1,high,"3 members (Clark, Deines, Hennier). Founded 1988. Overland Park KS. Bankruptcy specialty. Jeffrey Deines Super Lawyers 2013-2018, Rising Stars 2010-2012. Not CaseDelta ICP.",,,Not Started,,,
MARTIN PRINGLE OLIVER WALLACE & BAUER LLP,,,https://www.martinpringle.com/,4,"Adoption & Surrogacy, Appellate Practice, Aviation Law, Banking Law, Bankruptcy, Business Law, Civil Litigation, Construction Law, Employment Law, Energy Law, Estate Planning, Family Law, Health Law, Immigration Law, Oil & Gas Law, Products Liability, Real Estate, Workers Compensation",10+,high,"34+ attorneys. 4 offices (Wichita KS, Overland Park KS, El Dorado KS, Kansas City MO). Founded 1951. Full-service regional firm. Estate planning + family law coverage. ICP 4+ for adoption/family law breadth.",,,Not Started,,,
MCANANY VAN CLEAVE & PHILLIPS PA,,,https://mvplaw.com/,3,"Workers' Compensation Defense, Employment Law, Civil Litigation, Insurance Defense, Business Litigation, Transactions, Public Sector Law",10+,high,31+ Super Lawyers selections. 8 Midwest offices. Founded 1901. Primary: Workers comp + employment law. Secondary: civil litigation. Employment law focus fits secondary ICP but not primary.,,,Not Started,,,
"MCNEILE PAPPAS, PC",,,,3,"Business Law, Commercial Litigation, Bankruptcy, Debt Collection, Real Estate",8,high,"Established 1974. Business/commercial focus. Document-heavy practice (collections, bankruptcy, foreclosure). Document analysis value.",,,Not Started,,,
"MCSHANE & BRADY, LLC",,,,4,"Personal Injury, Medical Malpractice, Product Liability, HIPAA Violations, Class Action",8,high,Strong personal injury with class action/mass tort emphasis. HIPAA/data breach litigation. Excellent ICP fit. Document-heavy cases.,,,Not Started,,,
"MERRICK, BAKER & STRAUSS, PC",,,,3,"Insurance Defense, Workers Compensation, Bankruptcy, Collections, Commercial Litigation",9,high,"Established insurance defense/collections firm. Document-heavy (collections, bankruptcy). Moderate ICP fit. B2B/institutional clients.",,,Not Started,,,
"MEYERKORD, RUSSELL & HERGOTT","911 Main St., P.O. Box 220, Lexington, MO 64067-0220",(660) 259-4571,,4,"Personal Injury, Medical Malpractice, Wrongful Death, Catastrophic Injury",10,high,3 Super Lawyers. Established personal injury firm in River Market. High-value catastrophic cases. Strong ICP candidate.,,,Not Started,,,
"MEYERS, BRIAN TIMOTHY, LAW OFFICES OF",,,,4,"Personal Injury, Medical Malpractice, Construction Accidents, Wrongful Death",10,high,Founded 1987. 30+ years trial experience. Personal injury specialist. Downtown KC location. Strong ICP candidate.,,,Not Started,,,
"MILLIN, STEPHEN B. JR., LAW OFFICE OF",,,,4,"Personal Injury, Medical Malpractice, Product Liability, Business Litigation",9,high,Super Lawyer since 2005. 30+ year personal injury veteran. Downtown location. Strong litigation portfolio. ICP candidate.,,,Not Started,,,
"MILLSAP & SINGER, LLC",,,,3,"Foreclosure, Bankruptcy, Mortgage Litigation, Real Estate",7,high,Established 1970. Large staff (70 employees). Mortgage/foreclosure specialist. Document-heavy work. Not ideal ICP (lender-focused).,,,Not Started,,,
MIRFASIHI LAW OFFICES,,,,4,"Personal Injury, Auto Accidents, Truck Accidents, Medical Malpractice, Workers Compensation",7,high,Super Lawyer (Mav Mirfasihi). Multi-attorney firm. Strong personal injury practice. North KC location. Good ICP candidate.,,,Not Started,,,
